ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM,IDADE
3719,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2083,4,39,47,88,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
12,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1651,0,0,0,0,NAO,ASSINANTE,M,1964-11-02,DE 8SM ATE 14SM,57.14
479,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2943,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2473,9,18,10,0,NAO,ASSINANTE,F,2000-01-01,ACIMA DE 25SM,21.95
80,15,18,0,54,SIM,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2778,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2976,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
1222,6,11,15,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
3136,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
521,0,5,0,16,SIM,ASSINANTE,M,1978-12-17,DE 4SM ATE 8SM,43.00
2431,48,30,21,1,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2804,2,1,2,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
817,18,21,0,85,SIM,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
1308,4,9,1,44,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1504,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
3001,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
2198,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2249,26,6,4,1,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2027,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
2281,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3256,2,7,8,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3191,15,42,155,5,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3054,1,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2556,1,1,1,1,NAO,ASSINANTE,M,1970-01-27,DE 3SM ATE 4SM,51.90
129,6,3,6,2,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
60,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
212,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1396,17,25,0,111,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
698,2,7,1,51,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
