ID,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
3719,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2083,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3729,ASSINANTE,F,01/01/2000 00:00:00,
3400,ASSINANTE,M,01/01/2000 00:00:00,
2693,ASSINANTE,M,01/01/2000 00:00:00,
12,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
856,ASSINANTE,F,01/01/2000 00:00:00,
1651,ASSINANTE,M,11/02/1964 00:00:00,DE 8SM ATE 14SM
479,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2943,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2473,ASSINANTE,F,01/01/2000 00:00:00,ACIMA DE 25SM
457,ASSINANTE,M,01/01/2000 00:00:00,
80,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2778,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3368,ASSINANTE,M,01/01/2000 00:00:00,
2976,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
1222,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
3136,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
521,ASSINANTE,M,17/12/1978 00:00:00,DE 4SM ATE 8SM
2431,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2804,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
817,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
1308,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1504,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
3001,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
2198,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
1092,ASSINANTE,M,01/01/2000 00:00:00,
2249,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2027,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
1307,ASSINANTE,M,19/02/1999 00:00:00,
2281,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3256,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3191,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
3054,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2556,ASSINANTE,M,27/01/1970 00:00:00,DE 3SM ATE 4SM
129,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2370,ASSINANTE,M,01/01/2000 00:00:00,
3773,ASSINANTE,M,01/01/2000 00:00:00,
60,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
212,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
1396,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
698,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
513,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2855,ASSINANTE,M,01/01/2000 00:00:00,
474,ASSINANTE,F,01/01/2000 00:00:00,
2087,ASSINANTE,M,01/01/2000 00:00:00,
3392,ASSINANTE,F,01/01/2000 00:00:00,
