PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
True,0,0,0,False,0,False,21.95,3
True,4,0,0,False,0,False,21.95,3
True,9,58,191,True,3,False,33.55,4
True,25,35,0,False,153,True,21.95,3
True,0,10,1,True,0,False,21.95,3
True,6,6,9,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,2
True,0,0,0,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,4,4,False,0,False,21.95,4
True,1,1,0,False,12,True,29.13,5
True,17,46,12,False,130,True,21.95,3
True,0,2,1,False,1,False,21.95,2
True,12,27,19,False,18,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,2,23,6,False,42,False,21.95,3
True,35,5,1,False,10,False,21.95,5
True,0,0,0,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,5
True,15,18,15,True,0,False,21.95,3
True,0,0,0,False,0,False,31.19,3
True,0,0,0,True,0,False,21.95,3
True,11,51,101,False,356,True,21.95,3
True,0,0,0,True,0,False,21.95,4
True,38,41,71,False,20,False,21.95,4
True,22,26,25,False,103,True,21.95,3
True,14,4,3,True,25,True,21.95,3
True,0,0,0,True,0,False,21.95,4
True,15,5,0,True,84,True,21.95,3
True,120,59,0,False,725,True,21.95,4
True,126,58,387,False,61,True,21.95,3
True,0,4,3,False,0,False,21.95,3
True,16,19,38,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,2,6,0,False,24,True,38.27,3
True,36,20,2,False,32,True,21.95,6
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,21.95,5
True,2,32,18,False,96,True,21.95,3
True,0,0,0,True,0,False,30.49,4
True,26,3,0,False,55,True,21.95,3
True,5,13,0,True,41,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,52,318,False,533,True,21.95,4
True,0,0,0,False,0,False,21.95,3
True,50,35,99,False,8,False,21.95,3
True,12,48,71,False,204,True,21.95,3
True,0,0,0,True,0,False,21.95,4
True,20,30,104,False,0,False,21.95,4
True,4,17,27,False,1,False,21.95,4
True,0,0,0,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,18,7,0,False,46,True,21.95,3
True,20,11,12,False,3,False,21.95,4
True,0,0,0,True,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,88,22,11,False,2,False,38.2,4
